Country Name,Country Code,Region,Year,Fertility Rate
Mozambique,MOZ,Africa,2013,5.418
Myanmar,MMR,Asia,2013,2.239
Namibia,NAM,Africa,2013,3.56
Nepal,NPL,Asia,2013,2.292
Netherlands,NLD,Europe,2013,1.72
New Caledonia,NCL,Oceania,2013,2.28
New Zealand,NZL,Oceania,2013,1.95
Nicaragua,NIC,The Americas,2013,2.3
Niger,NER,Africa,2013,7.623
Nigeria,NGA,Africa,2013,5.707
Norway,NOR,Europe,2013,1.85
Oman,OMN,Middle East,2013,2.823
Pakistan,PAK,Asia,2013,3.682
Panama,PAN,The Americas,2013,2.465
Papua New Guinea,PNG,Oceania,2013,3.812
Paraguay,PRY,The Americas,2013,2.581
Peru,PER,The Americas,2013,2.48
Philippines,PHL,Asia,2013,3.011
Poland,POL,Europe,2013,1.3
Portugal,PRT,Europe,2013,1.28
Puerto Rico,PRI,The Americas,2013,1.636
Qatar,QAT,Middle East,2013,2.043
Romania,ROU,Europe,2013,1.53
Russian Federation,RUS,Europe,2013,1.7
Rwanda,RWA,Africa,2013,4.012
Samoa,WSM,Oceania,2013,4.147
Sao Tome and Principe,STP,Africa,2013,4.634
Saudi Arabia,SAU,Middle East,2013,2.818
Senegal,SEN,Africa,2013,5.134
Sierra Leone,SLE,Africa,2013,4.746
Singapore,SGP,Asia,2013,1.19
Slovak Republic,SVK,Europe,2013,1.34
Slovenia,SVN,Europe,2013,1.58
Solomon Islands,SLB,Oceania,2013,4.031
Somalia,SOM,Africa,2013,6.565
South Africa,ZAF,Africa,2013,2.387
South Sudan,SSD,Africa,2013,5.108
Spain,ESP,Europe,2013,1.32
Sri Lanka,LKA,Asia,2013,2.339
St. Lucia,LCA,The Americas,2013,1.913
St. Vincent and the Grenadines,VCT,The Americas,2013,1.997
Sudan,SDN,Africa,2013,4.421
Suriname,SUR,The Americas,2013,2.386
Swaziland,SWZ,Africa,2013,3.334
Sweden,SWE,Europe,2013,1.91
Switzerland,CHE,Europe,2013,1.52
Syrian Arab Republic,SYR,Middle East,2013,2.964
Tajikistan,TJK,Asia,2013,3.514
Tanzania,TZA,Africa,2013,5.215
Thailand,THA,Asia,2013,1.524
Timor-Leste,TLS,Asia,2013,5.2
Togo,TGO,Africa,2013,4.655
Tonga,TON,Oceania,2013,3.768
Trinidad and Tobago,TTO,The Americas,2013,1.789
Tunisia,TUN,Africa,2013,2.25
Turkey,TUR,Europe,2013,2.041
Turkmenistan,TKM,Asia,2013,2.326
Uganda,UGA,Africa,2013,5.869
Ukraine,UKR,Europe,2013,1.506
United Arab Emirates,ARE,Middle East,2013,1.801
United Kingdom,GBR,Europe,2013,1.92
United States,USA,The Americas,2013,1.8695
Uruguay,URY,The Americas,2013,2.033
Uzbekistan,UZB,Asia,2013,2.2
Vanuatu,VUT,Oceania,2013,3.383
"Venezuela, RB",VEN,The Americas,2013,2.391
Vietnam,VNM,Asia,2013,1.743
Virgin Islands (U.S.),VIR,The Americas,2013,1.77
"Yemen, Rep.",YEM,Middle East,2013,4.284
Zambia,ZMB,Africa,2013,5.429
Zimbabwe,ZWE,Africa,2013,3.977
